tic_id,sector,fits_file,period,t0_bjd,t0_btjd,duration_hours,tstart,tstop,matched_transit_time
14227229,71,tess2023289093419-s0071-0000000014227229-0266-s_lc.fits,5.3518963,2459519.1348,2519.1348000001162,3.2362,3234.550017418388,3259.862200231916,3236.288904200116
14570090,44,tess2021284114741-s0044-0000000014570090-0215-s_lc.fits,18.718269,2457151.87653,151.87653000000864,6.888,2500.202936595131,2524.441443007238,2510.3784240000086
14570090,45,tess2021310001228-s0045-0000000014570090-0216-s_lc.fits,18.718269,2457151.87653,151.87653000000864,6.888,2525.727678200229,2550.628530339949,2529.0966930000086
14570090,46,tess2021336043614-s0046-0000000014570090-0217-s_lc.fits,18.718269,2457151.87653,151.87653000000864,6.888,2552.005002703503,2578.706625311128,2566.5332310000085
14570090,71,tess2023289093419-s0071-0000000014570090-0266-s_lc.fits,18.718269,2457151.87653,151.87653000000864,6.888,3235.243290237229,3259.862383371202,3240.3909150000086
14570090,72,tess2023315124025-s0072-0000000014570090-0267-s_lc.fits,18.718269,2457151.87653,151.87653000000864,6.888,3260.18463982708,3285.586839522084,3277.8274530000085
14570099,44,tess2021284114741-s0044-0000000014570099-0215-s_lc.fits,26.201446,2457164.3902,164.39019999979064,3.33,2500.20293439523,2524.441440715835,2522.520339999791
14570099,45,tess2021310001228-s0045-0000000014570099-0216-s_lc.fits,26.201446,2457164.3902,164.39019999979064,3.33,2525.727675912551,2550.628528400703,2548.721785999791
14570099,46,tess2021336043614-s0046-0000000014570099-0217-s_lc.fits,26.201446,2457164.3902,164.39019999979064,3.33,2552.005000791498,2578.706624196334,2574.923231999791
14570099,71,tess2023289093419-s0071-0000000014570099-0266-s_lc.fits,26.201446,2457164.3902,164.39019999979064,3.33,3235.243288006072,3259.862381127879,3256.160827999791
14570099,72,tess2023315124025-s0072-0000000014570099-0267-s_lc.fits,26.201446,2457164.3902,164.39019999979064,3.33,3260.184637585852,3285.586837701581,3282.362273999791
14770122,44,tess2021284114741-s0044-0000000014770122-0215-s_lc.fits,3.54387,2455208.75049,-1791.2495099999942,4.188,2500.194221628351,2524.442414507947,2500.377060000006
14770122,45,tess2021310001228-s0045-0000000014770122-0216-s_lc.fits,3.54387,2455208.75049,-1791.2495099999942,4.188,2525.730038951757,2550.629276106142,2528.728020000006
14770122,46,tess2021336043614-s0046-0000000014770122-0217-s_lc.fits,3.54387,2455208.75049,-1791.2495099999942,4.188,2552.008510821895,2578.706951436174,2553.535110000006
14770122,71,tess2023289093419-s0071-0000000014770122-0266-s_lc.fits,3.54387,2455208.75049,-1791.2495099999942,4.188,3234.038636057579,3259.956391304769,3237.5020200000063
14770122,72,tess2023315124025-s0072-0000000014770122-0267-s_lc.fits,3.54387,2455208.75049,-1791.2495099999942,4.188,3260.185583540298,3285.587525886427,3262.3091100000056
15756231,43,tess2021258175143-s0043-0000000015756231-0214-s_lc.fits,8.249164,2458293.34124,1293.3412399999797,4.89,2474.168782847828,2498.881908063026,2481.22085599998
15756231,44,tess2021284114741-s0044-0000000015756231-0215-s_lc.fits,8.249164,2458293.34124,1293.3412399999797,4.89,2500.193104695994,2524.445718494096,2505.96834799998
16005254,71,tess2023289093419-s0071-0000000016005254-0266-s_lc.fits,3.792622,2459848.9903,2848.9903000001796,1.773,3234.549822227146,3259.862123042038,3235.8377440001796
17307715,43,tess2021258175143-s0043-0000000017307715-0214-s_lc.fits,6.342,2457818.7153,818.715299999807,2.4096,2474.168400296418,2498.881615476446,2480.319299999807
17307715,44,tess2021284114741-s0044-0000000017307715-0215-s_lc.fits,6.342,2457818.7153,818.715299999807,2.4096,2500.19700268544,2524.445591731784,2505.687299999807
17307715,71,tess2023289093419-s0071-0000000017307715-0266-s_lc.fits,6.342,2457818.7153,818.715299999807,2.4096,3234.545512135332,3259.795391544146,3235.0172999998067
21276520,45,tess2021310001228-s0045-0000000021276520-0216-s_lc.fits,50.819172,2459534.0662,2534.0661999997683,3.7496,2526.009138487979,2550.628104346654,2534.0661999997683
21832928,25,tess2020133194932-s0025-0000000021832928-0182-s_lc.fits,16.34136,2458987.2663,1987.2662999997847,4.6981114,1983.643783514376,2009.309190907409,1987.2662999997847
21832928,26,tess2020160202036-s0026-0000000021832928-0188-s_lc.fits,16.34136,2458987.2663,1987.2662999997847,4.6981114,2010.270290022839,2035.137861512361,2019.9490199997847
21832928,52,tess2022138205153-s0052-0000000021832928-0224-s_lc.fits,16.34136,2458987.2663,1987.2662999997847,4.6981114,2718.637991980948,2743.079688613539,2722.627499999785
21832928,79,tess2024142205832-s0079-0000000021832928-0274-s_lc.fits,16.34136,2458987.2663,1987.2662999997847,4.6981114,3452.541426266301,3479.677445719109,3457.988699999785
22529346,7,tess2019006130736-s0007-0000000022529346-0131-s_lc.fits,1.27492504,2458661.56378,1661.5637799999677,2.9053,1491.633806927469,1516.0893416301,1491.9987496799677
22529346,33,tess2020351194500-s0033-0000000022529346-0203-s_lc.fits,1.27492504,2458661.56378,1661.5637799999677,2.9053,2201.734521158696,2227.575200096961,2202.1319969599676
22529346,34,tess2021014023720-s0034-0000000022529346-0204-s_lc.fits,1.27492504,2458661.56378,1661.5637799999677,2.9053,2228.768259103068,2254.06808253612,2228.9054227999677
22529346,61,tess2023018032328-s0061-0000000022529346-0250-s_lc.fits,1.27492504,2458661.56378,1661.5637799999677,2.9053,2962.801256651601,2988.223222219258,2963.262245839968
22529346,87,tess2024353092137-s0087-0000000022529346-0284-s_lc.fits,1.27492504,2458661.56378,1661.5637799999677,2.9053,3663.043096450637,3689.940717820136,3663.196092799968
22529346,88,tess2025014115807-s0088-0000000022529346-0285-s_lc.fits,1.27492504,2458661.56378,1661.5637799999677,2.9053,3690.154607336774,3717.926597565166,3691.244443679968
26017005,42,tess2021232031932-s0042-0000000026017005-0213-s_lc.fits,4.098503,2457063.80714,63.80714000016451,2.3208,2447.690636540785,2473.126341831918,2449.1358860001646
26017005,43,tess2021258175143-s0043-0000000026017005-0214-s_lc.fits,4.098503,2457063.80714,63.80714000016451,2.3208,2474.16948359258,2498.882406231614,2477.8254070001644
26017005,44,tess2021284114741-s0044-0000000026017005-0215-s_lc.fits,4.098503,2457063.80714,63.80714000016451,2.3208,2500.19220176164,2524.445914062571,2502.4164250001645
26017005,70,tess2023263165758-s0070-0000000026017005-0265-s_lc.fits,4.098503,2457063.80714,63.80714000016451,2.3208,3208.562505127261,3233.807294440305,3211.4574440001643
26017005,71,tess2023289093419-s0071-0000000026017005-0266-s_lc.fits,4.098503,2457063.80714,63.80714000016451,2.3208,3234.550394622657,3259.862307807124,3236.0484620001644
26416742,81,tess2024196212429-s0081-0000000026416742-0276-s_lc.fits,2.633867,2454967.56281,-2032.4371899999678,2.061,3506.553978654943,3533.179061520727,3506.585111000032
26416742,82,tess2024223182411-s0082-0000000026416742-0278-s_lc.fits,2.633867,2454967.56281,-2032.4371899999678,2.061,3533.394338805942,3559.248176577906,3535.557648000032
26416803,74,tess2024003055635-s0074-0000000026416803-0269-s_lc.fits,7.61760804,2454970.4959,-2029.5041000000201,3.479,3312.861774763236,3339.567047172988,3318.0567440799805
26416803,75,tess2024030031500-s0075-0000000026416803-0270-s_lc.fits,7.61760804,2454970.4959,-2029.5041000000201,3.479,3339.782324278875,3367.48112335568,3340.9095681999797
26416803,81,tess2024196212429-s0081-0000000026416803-0276-s_lc.fits,7.61760804,2454970.4959,-2029.5041000000201,3.479,3506.553983277562,3533.179065977804,3508.49694507998
26416803,82,tess2024223182411-s0082-0000000026416803-0278-s_lc.fits,7.61760804,2454970.4959,-2029.5041000000201,3.479,3533.394343259527,3559.248180015418,3538.96737723998
26417717,74,tess2024003055635-s0074-0000000026417717-0269-s_lc.fits,0.631332353,2454966.94403,-2033.0559700001031,1.1076,3312.861816043061,3339.567079945997,3313.0663952038967
26417717,75,tess2024030031500-s0075-0000000026417717-0270-s_lc.fits,0.631332353,2454966.94403,-2033.0559700001031,1.1076,3339.782356940125,3367.481139634035,3340.2136863828973
26417717,81,tess2024196212429-s0081-0000000026417717-0276-s_lc.fits,0.631332353,2454966.94403,-2033.0559700001031,1.1076,3506.55394268773,3533.179036579442,3506.885427574897
26417717,82,tess2024223182411-s0082-0000000026417717-0278-s_lc.fits,0.631332353,2454966.94403,-2033.0559700001031,1.1076,3533.394313967802,3559.248167212526,3533.4013864008966
26472830,80,tess2024170053053-s0080-0000000026472830-0275-s_lc.fits,3.0091324,2454964.62411,-2035.375889999792,2.269,3479.889391728942,3506.338476841145,3480.3637992002077
26472830,81,tess2024196212429-s0081-0000000026472830-0276-s_lc.fits,3.0091324,2454964.62411,-2035.375889999792,2.269,3506.553757788767,3533.178876442949,3507.445990800208
26472830,82,tess2024223182411-s0082-0000000026472830-0278-s_lc.fits,3.0091324,2454964.62411,-2035.375889999792,2.269,3533.394154122115,3559.248062107302,3534.5281824002077
26472830,83,tess2024249191853-s0083-0000000026472830-0280-s_lc.fits,3.0091324,2454964.62411,-2035.375889999792,2.269,3559.428614815749,3584.376665690057,3561.610374000208
26541144,74,tess2024003055635-s0074-0000000026541144-0269-s_lc.fits,22.12679948,2454977.93506,-2022.064939999953,3.686,3312.86189933089,3339.56714554929,3332.620534160047
26541144,75,tess2024030031500-s0075-0000000026541144-0270-s_lc.fits,22.12679948,2454977.93506,-2022.064939999953,3.686,3339.782422314779,3367.481171532648,3354.747333640047
26541144,81,tess2024196212429-s0081-0000000026541144-0276-s_lc.fits,22.12679948,2454977.93506,-2022.064939999953,3.686,3506.553860985129,3533.178977932663,3509.6349300000466
26541144,82,tess2024223182411-s0082-0000000026541144-0278-s_lc.fits,22.12679948,2454977.93506,-2022.064939999953,3.686,3533.394255539185,3559.248142383932,3553.8885289600466
26547036,15,tess2019226182529-s0015-0000000026547036-0151-s_lc.fits,141.834025,2458712.30168,1712.3016800000332,8.681,1711.366018515349,1737.411641143856,1712.3016800000332
26547036,56,tess2022244194134-s0056-0000000026547036-0243-s_lc.fits,141.834025,2458712.30168,1712.3016800000332,8.681,2825.25846148557,2853.139949216624,2846.973880000033
26547036,82,tess2024223182411-s0082-0000000026547036-0278-s_lc.fits,141.834025,2458712.30168,1712.3016800000332,8.681,3533.393906547121,3559.247918696082,3556.1440050000333
