tic_id,period,t0,duration
121786630,31.781925,2454967.86667,3.863
121865123,6.98471973,2454968.99535,2.723
121865656,15.9653287,2455677.65243,4.527
121865656,179.60978,2455667.15973,13.755
121943952,3.764191048,2454965.35098,2.0596
121944984,10.61340046,2454968.6898,0.9829
122062591,3.215090036,2454966.77742,3.9026
122066167,3.856918547,2454967.47172,1.9839
122066949,56.0560538,2455034.16561,4.595
122068161,5.62012,2454965.95556,2.751
122069243,16.736525,2454976.1326,2.2
122070274,7.991459846,2454969.25676,3.2
122136712,3.932461302,2454965.55465,2.1982
122137575,5.33905686,2454965.14224,1.6507
122142813,18.5084526,2454964.54555,6.596
122294985,33.8678531,2454970.51356,3.682
122298677,2.024823,2454965.35611,2.762
122298677,9.600001,2454969.58177,4.243
122298677,20.678772,2454984.69139,4.515
122374509,12.18420029,2454972.05896,2.4468
122376177,4.244384,2454970.06411,2.945
122376177,8.14,2454973.56908,4.776
122376177,12.33,2454970.58738,6.487
122376177,18.998355,2454977.74357,2.963
122376998,9.029299736,2455010.20422,3.1323
122441003,6.4816307,2454955.97791,3.649
122441003,21.22265,2454970.5722,6.4913
122443195,1.078390352,2454966.24975,1.2297
122445076,6.846262,2454965.17037,3.59
122445076,17.028937,2454976.33642,4.732
122445076,43.130617,2454999.27537,3.066
122445076,67.831024,2454958.89695,7.066
122446315,9.751962,2454971.7852,4.19
122446315,18.6489525,2455007.77608,4.4815
122446315,38.5583038,2454996.84816,5.0162
122449752,11.72292176,2455010.3185,4.175
122450762,1.970342457,2454964.94776,1.7381
122450762,5.05821338,2454968.70245,1.132
122451550,14.07971466,2454972.95846,1.3354
122595850,7.01075434,2454971.40066,2.1522
122596334,61.0370117,2455008.18003,8.851
122605766,3.573203671,2454967.93426,2.8837
122612091,2.21673,2458789.06301,3.8789472
122673489,13.060855,2454970.63086,3.278
122673489,21.853722,2454977.31467,3.49
122680921,1.419759989,2454965.9252,1.5126
122706051,2.628113746,2455002.71974,1.8548
122706631,29.6091744,2454970.33591,5.471
122713147,6.365841612,2455004.13543,2.9697
122780849,11.0895723,2454974.76206,6.3412
122781795,9.229579926,2454971.43961,2.235
122785299,8.8849116,2455640.4403,2.0778
123130285,5.652450085,2454969.9767,2.062
123130285,14.86390018,2454975.9516,2.806
123206821,7.71792984,2454972.15405,1.84
123231917,4.421572182,2454965.18354,2.0749
123312978,0.680741,2454832.96,1.7
123312978,82.294751,2455045.0073,7.009
123314844,11.55530021,2454967.13083,2.799
123316380,187.747029,2454990.35773,5.408
123362050,0.677375164,2454966.94581,1.8243
123362984,76.378033,2454979.3458,4.952
123410927,14.7967458,2454975.73773,5.638
123416753,25.2034787,2454970.56218,4.552
123417316,1047.8356,2455375.1341,22.992
123445166,0.900376476,2454966.11875,1.393
123445166,14.70748976,2455008.79285,3.1584
123447592,3.70428172,2454965.2159,3.281
123448077,62.8691611,2454999.0209,5.778
123449386,10.6906004,2454974.116,4.657
123495717,2.88879862,2454965.33156,2.981
123495874,7.8914483,2455010.25005,4.2854
123497954,5.72812599,2454968.18079,1.9804
124029677,20.33003,2458486.1239,4.87
124379043,1.96229325,2459207.6864,3.091
124573851,3.945152,2458546.1419,2.8712193
130038122,4.86069,2454576.2156,1.92
130162252,95.272656,2455365.52723,8.268
134200185,0.548177,2458468.3905,0.998
135043332,3.3596055,2457215.032,1.42008
135043332,7.4500177,2457213.5759,3.0024
135043332,17.0428683,2457204.5687,2.9592
137099260,21.76129913,2454999.54053,1.2657
137150277,12.99207337,2454969.3195,5.9838
137150544,10.613839,2455196.73676,3.538
137150544,29.726682,2456560.20398,1.534
137151626,7.298049927,2454970.85674,3.024
137151626,386.370548,2455285.8748,10.95
137152419,2.414351654,2454965.42886,1.2248
137212833,24.3397804,2454969.05935,3.292
137212833,76.5369586,2454997.15492,5.693
137307173,9.93143556,2454969.49303,5.659
137316027,14.91110039,2454974.33665,3.3353
137318289,0.928310498,2454966.80341,1.3
137342400,30.229104,2454967.52038,6.4658
137409501,10.21420496,2455003.7036,5.8558
137409907,4.417696479,2454966.96117,1.9161
137411481,14.80074836,2454965.82305,5.6698
137547023,32.31240082,2454966.8627,6.075
137548365,13.22259998,2454977.29126,4.337
137549134,78.1000231,2454972.49588,8.322
137556026,5.254169941,2454966.72952,2.9878
137558813,8.689099,2455374.6219,1.184
137558813,19.53527,2455410.9777,1.07
137626872,23.20584623,2455013.76141,4.2998
137634508,1.952700019,2454966.16095,0.872
137635841,41.86869812,2454980.02993,5.783
137683938,3.290314,2456290.90198,1.7505
137754713,4.820590019,2454968.78516,3.468
137757057,10.62784997,2454970.82181,5.013
137815803,7.42608998,2454972.90046,3.7017
137815803,15.9870174,2454970.5914,4.279
137817056,3.924510002,2454965.40179,3.708
137899873,1.116119981,2454964.8456,1.3577
137899873,5.448325286,2454965.49031,2.2251
137899948,2.455239,2455003.82176,1.72722
137900524,25.54339981,2454973.58705,8.567
137903329,7.340711,2455187.56737,3.082
137906197,7.337703649,2459627.0224,4.5639
137968594,4.75793986,2454970.69702,4.677
137968594,8.1934719,2454971.9921,5.047
137968594,12.1097104,2454973.21293,5.8
137968594,20.4966197,2454980.4533,6.38
137969066,3.70175428,2455005.4504,2.6262
137969066,86.4945,2455014.88967,7.284
138036531,14.5596237,2454968.96181,5.76
138097531,5.21104261,2454964.53958,3.3011
138097531,19.67416124,2455009.26985,3.5985
138097834,26.0840594,2454982.4478,6.725
138105127,10.506825646,2455193.08255,3.7432
138168780,3.7650007,2456652.71245,2.9
138213510,14.12841,2454975.89515,3.733
138213510,31.884,2454993.20793,5.099
138213510,48.648,2455005.12729,4.563
138214374,5.687945,2454966.95634,2.214
138214374,11.637071,2455011.84301,3.289
138216186,161.4743937,2455003.60316,10.598
138294130,3.056536,2455584.57238,4.224
138299395,11.17931605,2454964.6405,3.043
138303317,14.5539759,2454967.11314,6.254
138359318,1.0187068,2454317.81333,1.4947875
138365520,4.176,2455185.9956,2.358
138365520,8.708,2455196.05652,2.532
138430864,10.526294063,2455009.5225,2.5212
138431522,70.46829987,2455022.16092,6.618
138477499,14.8334,2454968.44343,4.436
138569175,5.08005848,2455007.42776,5.2587
138888759,1.44259224,2454967.0722,3.0151
138969239,8.50340718,2455003.86761,2.8346
138969239,23.78319931,2455012.75013,7.939
139155506,13.5225106,2454975.18129,3.8931
139270665,23.624,2459592.36614,5.94
141205978,1.55745774,2459662.7387,1.409
142211778,3.05125,2458564.4506,3.601
142589416,2.09518466313,2459614.122,1.35875
143526233,6.961508,2459909.2703,2.7504
144065872,2.18467,2458326.5058,2.784
144193715,9.151201,2458333.4284,2.616
145368316,1.6096884,2457918.462,2.232
147277741,43.12655,2459282.7925,5.255
147950620,2.3106446,2458684.92352,1.6276453
149603524,4.41195,2458851.09934,3.816
149918151,1.540731,2458227.75643,1.8672
150030205,4.5117244,2460186.64911,2.04
150030205,39.361826,2460155.0251,4.97
150096001,3.07133,2457821.315,1.22
150096001,4.86784,2457823.7686,1.62
